blockNum	trialNum	condition	pWin1	pWin2	optimalResponse	preStimulusDelay	responded	response	rt	preFeedbackDelay	outcome	optimal
7	16	2	0.6	0.1	1	0.588749615334464	1	1	0.6357053000247106	0.5024909889719937	1	1
7	17	2	0.6	0.1	1	0.5050836039962613	1	1	1.376912200008519	0.4652472311814434	1	1
7	18	2	0.6	0.1	1	0.4301545341637579	1	2	1.052536999923177	0.4370694409158894	2	0
7	19	2	0.6	0.1	1	0.5573883729361365	1	1	0.8305990999797359	0.4213855001118901	1	1
7	20	2	0.6	0.1	1	0.4624765894880532	1	2	0.9183902000077069	0.4522663956704752	2	0
8	1	2	0.6	0.1	1	0.5707462966473988	1	2	1.029363899957389	0.5607566444345105	2	0
8	2	2	0.6	0.1	1	0.4321633233132571	1	1	1.355738600017503	0.5793562550314757	2	1
8	3	2	0.6	0.1	1	0.5474562701123558	1	2	0.259961900068447	0.5319417459596718	2	0
8	4	2	0.6	0.1	1	0.4946583578672258	1	2	0.2220169000793248	0.5436937714744822	1	0
8	5	2	0.6	0.1	1	0.4144666740762303	1	1	0.5792204999597743	0.4145301813463226	1	1
8	6	2	0.6	0.1	1	0.5009837263523499	1	2	0.5790742000099272	0.5098714580645218	2	0
8	7	2	0.6	0.1	1	0.4315811238808748	1	2	0.8910248000174761	0.5414086707413682	2	0
8	8	2	0.6	0.1	1	0.514361984776789	1	1	0.6276015000184998	0.4820219834654286	2	1
8	9	2	0.6	0.1	1	0.4639399836253551	0	n/a	n/a	n/a	n/a	n/a
8	10	2	0.6	0.1	1	0.4229788577226184	1	2	0.7607980999164283	0.4188661186196621	2	0
8	11	2	0.6	0.1	1	0.5336541673211048	1	1	1.170464499969967	0.4735573439992476	1	1
8	12	2	0.6	0.1	1	0.534446604571253	1	1	0.5928595999721438	0.4842351097394282	1	1
8	13	2	0.6	0.1	1	0.4646075113623611	1	2	0.480198199977167	0.4508144340483566	2	0
8	14	2	0.6	0.1	1	0.5126493010019717	1	2	0.7619643999496475	0.5814852821771754	2	0
8	15	2	0.6	0.1	1	0.5198595490474316	1	2	0.5501030999002978	0.5557873326502724	2	0
8	16	2	0.6	0.1	1	0.5566976557473036	1	1	0.2822138000046834	0.4170641593530721	1	1
8	17	2	0.6	0.1	1	0.5891579394764617	1	1	0.722628999967128	0.5976515757108338	1	1
8	18	2	0.6	0.1	1	0.5052650515024431	1	1	0.688007100019604	0.5497519896141585	2	1
8	19	2	0.6	0.1	1	0.4670682486666433	1	1	0.3681337999878451	0.424285989137748	1	1
8	20	2	0.6	0.1	1	0.4178489728138729	1	1	0.7554093999788165	0.4651421178127619	1	1
9	1	1	0.5	0.5	1	0.5148954986074831	1	2	0.708608299959451	0.5301254275356134	2	0
9	2	1	0.5	0.5	1	0.554450314399211	1	2	0.5094405999407172	0.5572322343559846	2	0
9	3	1	0.5	0.5	1	0.5469577205199142	1	2	1.152499399962835	0.5654532327400421	1	0
9	4	1	0.5	0.5	1	0.5916465177405855	1	1	0.4026079000905156	0.4622711968438315	2	1
9	5	1	0.5	0.5	1	0.4053587317917663	1	2	0.4766128999181092	0.5486808035976761	1	0
9	6	1	0.5	0.5	1	0.4625808874868378	1	1	0.6772210000781342	0.4172911049477555	2	1
9	7	1	0.5	0.5	1	0.5982808949696352	1	1	0.2427687000017613	0.5489309298925611	2	1
9	8	1	0.5	0.5	1	0.4085496255521091	1	2	0.241413899930194	0.4253846406907977	2	0
9	9	1	0.5	0.5	1	0.4668337783927357	1	2	0.9973749999189749	0.5454719371554079	1	0
9	10	1	0.5	0.5	1	0.512753545224667	1	1	0.7340956999687478	0.5784540317644076	2	1
9	11	1	0.5	0.5	1	0.5784025680361061	1	2	0.3719989999663085	0.4450888921310807	2	0
9	12	1	0.5	0.5	1	0.5225633604829227	1	1	0.8439296999713406	0.5736931942119782	2	1
9	13	1	0.5	0.5	1	0.523793839224679	1	2	0.4644352000905201	0.4918948949151355	1	0
9	14	1	0.5	0.5	1	0.5458367091868144	1	2	0.5876602000789717	0.4763905252387215	2	0
9	15	1	0.5	0.5	1	0.4277923474791465	1	2	0.5382623999612406	0.5825519954995562	2	0
9	16	1	0.5	0.5	1	0.4268757177208416	1	1	0.8332302999915555	0.5133002038410398	2	1
9	17	1	0.5	0.5	1	0.5896506469295069	1	2	0.4446775000542402	0.5720793904459476	1	0
9	18	1	0.5	0.5	1	0.567277430654894	1	1	0.573802899918519	0.5285375263654897	2	1
9	19	1	0.5	0.5	1	0.5128655598306204	1	2	0.5506400000303984	0.5427376194955242	2	0
9	20	1	0.5	0.5	1	0.5382874830937761	1	2	0.4550488999811932	0.5720585931166481	2	0
10	1	1	0.5	0.5	1	0.4567781978713809	1	2	1.0708411000669	0.5826357516360603	2	0
10	2	1	0.5	0.5	1	0.4341225938500721	1	2	0.8579936000751331	0.5832474126027118	2	0
10	3	1	0.5	0.5	1	0.5819200261263948	1	1	0.3300017999717966	0.5227331265904607	1	1
10	4	1	0.5	0.5	1	0.4562928110869063	1	1	1.170791700016707	0.5275098891656254	2	1
10	5	1	0.5	0.5	1	0.4658650588741541	1	2	1.709324199939147	0.4078630075171373	1	0
10	6	1	0.5	0.5	1	0.587681109531775	1	1	1.364741099998355	0.4689114263384238	2	1
10	7	1	0.5	0.5	1	0.5125314264601504	1	2	0.7820667000487447	0.5554523937701483	1	0
10	8	1	0.5	0.5	1	0.5461812061933609	1	2	0.6718430999899283	0.5703450212760434	2	0
10	9	1	0.5	0.5	1	0.5712275387884336	1	1	0.9634160000132397	0.402173255286694	2	1
10	10	1	0.5	0.5	1	0.5210541449821731	1	2	0.9288513000356033	0.5466063657076831	2	0
10	11	1	0.5	0.5	1	0.4390469837899181	1	2	0.5493482999736443	0.4357925132309183	1	0
10	12	1	0.5	0.5	1	0.5291370769644153	1	1	0.6131468999665231	0.4250926617939861	2	1
10	13	1	0.5	0.5	1	0.4275715724527196	1	2	0.3147140999790281	0.5372321371309006	1	0
10	14	1	0.5	0.5	1	0.5645196716130256	1	2	0.4825163999339566	0.550628106816748	2	0
10	15	1	0.5	0.5	1	0.5043136783355969	1	1	0.4614544999785721	0.4833880775182963	1	1
10	16	1	0.5	0.5	1	0.4764542343941675	1	1	0.559196799993515	0.5354749573374119	1	1
10	17	1	0.5	0.5	1	0.5769698057104736	1	1	0.5451041999040172	0.4129126525127308	1	1
10	18	1	0.5	0.5	1	0.5281649848547605	1	2	0.4204380000010133	0.4539796960285702	2	0
10	19	1	0.5	0.5	1	0.4204971986086045	1	1	0.7301561000058427	0.5075718187374884	2	1
10	20	1	0.5	0.5	1	0.4922592425257237	1	2	1.102210700046271	0.5787532534565532	1	0
11	1	2	0.1	0.6	2	0.5852110235163447	1	1	0.5914980999659747	0.4830586249696674	2	0
11	2	2	0.1	0.6	2	0.4990378857393554	1	2	1.213780999998562	0.4601774443654504	1	1
11	3	2	0.1	0.6	2	0.4250756609822219	1	1	0.9865904999896884	0.533148877432193	2	0
11	4	2	0.1	0.6	2	0.5239452110629471	1	2	1.446270999964327	0.5203674140049761	2	1
11	5	2	0.1	0.6	2	0.4957124842743716	1	2	0.978919200017117	0.5334607514750531	2	1
11	6	2	0.1	0.6	2	0.4860503438046877	1	1	0.4835825000191107	0.5711624398668483	2	0
11	7	2	0.1	0.6	2	0.4140709746165119	1	2	0.8461582999443635	0.5573266191971793	1	1
11	8	2	0.1	0.6	2	0.4798462016627653	1	1	0.6479740999639034	0.4634657205377761	2	0
11	9	2	0.1	0.6	2	0.5050830652451356	1	2	0.5941561000654474	0.5658347917078493	1	1
11	10	2	0.1	0.6	2	0.4175390369602427	1	2	0.6020339999813586	0.5806420081432937	1	1
11	11	2	0.1	0.6	2	0.5810985982295047	1	1	0.2895561000332236	0.4197453860073314	1	0
11	12	2	0.1	0.6	2	0.4875661400261874	1	1	0.588948699994944	0.5902178970380416	2	0
11	13	2	0.1	0.6	2	0.5553850785087107	1	1	0.3334447999950498	0.4913424735853015	2	0
11	14	2	0.1	0.6	2	0.4925492482567385	1	2	0.2586837999988347	0.5167515697979748	1	1
11	15	2	0.1	0.6	2	0.4552723856538683	1	2	0.2054023999953642	0.5188306179660274	1	1
11	16	2	0.1	0.6	2	0.4434286338197401	1	1	0.3003427999792621	0.5406267423510567	2	0
11	17	2	0.1	0.6	2	0.454959967450617	1	2	0.1714431999716908	0.4965988945285223	1	1
11	18	2	0.1	0.6	2	0.5341445018966384	1	2	0.1860591999720782	0.4773868717095757	2	1
11	19	2	0.1	0.6	2	0.4702091801751476	1	1	1.239133999915794	0.4027792691900621	2	0
11	20	2	0.1	0.6	2	0.5944534434646584	1	1	0.7550642000278458	0.4197946584351012	2	0
